Order ID,Order Date,Product,Store,Units Sold,SP ID
11000,01-Jan-19,R1005,9,30,SP3774
11001,01-Jan-19,R1005,6,20,SP3774
10940,02-Jan-19,R1004,8,12,SP2886
11339,04-Jan-19,R1020,6,8,SP1131
11340,04-Jan-19,R1020,8,14,SP1131
11341,04-Jan-19,R1020,6,5,SP1131
12134,04-Jan-19,R1014,6,8,SP2365
12135,04-Jan-19,R1014,6,40,SP2365
10967,05-Jan-19,R1004,9,5,SP3774
11184,05-Jan-19,R1020,6,15,SP2365
11185,05-Jan-19,R1020,6,50,SP2365
11186,05-Jan-19,R1020,8,70,SP2365
12089,06-Jan-19,R1014,8,4,SP1131
12090,06-Jan-19,R1014,9,10,SP1131
10861,07-Jan-19,R1009,7,20,SP2662
10862,07-Jan-19,R1009,9,70,SP2662
10863,07-Jan-19,R1009,6,15,SP2662
10941,08-Jan-19,R1004,6,30,SP2662
10942,08-Jan-19,R1004,6,25,SP2662
10864,10-Jan-19,R1009,6,42,SP2886
10865,10-Jan-19,R1009,7,40,SP2886
10866,11-Jan-19,R1009,7,5,SP3774
10867,11-Jan-19,R1009,6,5,SP3774
12017,11-Jan-19,R1006,6,5,SP2365
12018,11-Jan-19,R1006,6,20,SP2365
12019,11-Jan-19,R1006,8,15,SP2365
12020,11-Jan-19,R1006,7,10,SP2365
10699,12-Jan-19,R1015,6,20,SP2365
10700,12-Jan-19,R1015,6,18,SP2365
11187,12-Jan-19,R1020,6,60,SP2886
11188,12-Jan-19,R1020,8,20,SP2886
11189,12-Jan-19,R1020,8,15,SP2886
11190,12-Jan-19,R1020,6,24,SP2886
11191,12-Jan-19,R1020,6,33,SP2886
11002,13-Jan-19,R1005,8,20,SP2886
11003,13-Jan-19,R1005,8,7,SP2886
11342,13-Jan-19,R1020,6,21,SP1131
11343,13-Jan-19,R1020,6,3,SP1131
11344,13-Jan-19,R1020,6,25,SP1131
11345,13-Jan-19,R1020,6,15,SP1131
11346,13-Jan-19,R1020,6,30,SP1131
11561,14-Jan-19,R1002,6,12,SP2662
11562,14-Jan-19,R1002,8,6,SP2662
11656,14-Jan-19,R1019,8,10,SP2886
11657,14-Jan-19,R1019,7,5,SP2886
11658,14-Jan-19,R1019,6,3,SP2886
11616,15-Jan-19,R1019,6,15,SP1131
11617,15-Jan-19,R1019,6,10,SP1131
11192,16-Jan-19,R1020,6,20,SP3774
11193,16-Jan-19,R1020,6,12,SP3774
11841,17-Jan-19,R1013,9,12,SP2662
11842,17-Jan-19,R1013,8,20,SP2662
11843,17-Jan-19,R1013,8,20,SP2662
11081,18-Jan-19,R1005,6,25,SP2365
11771,18-Jan-19,R1001,7,9,SP2365
11772,18-Jan-19,R1001,9,20,SP2365
11347,19-Jan-19,R1020,9,12,SP2662
11348,19-Jan-19,R1020,6,35,SP2662
11804,19-Jan-19,R1013,8,15,SP1131
11805,19-Jan-19,R1013,6,25,SP1131
11806,19-Jan-19,R1013,9,16,SP1131
11807,19-Jan-19,R1013,9,8,SP1131
11082,20-Jan-19,R1005,6,8,SP1131
11194,20-Jan-19,R1020,9,15,SP1131
11349,20-Jan-19,R1020,8,20,SP1131
11350,20-Jan-19,R1020,6,30,SP1131
10493,21-Jan-19,R1010,8,36,SP2886
10494,21-Jan-19,R1010,6,13,SP2886
10495,21-Jan-19,R1010,6,80,SP2886
10496,21-Jan-19,R1010,6,35,SP2886
11083,21-Jan-19,R1005,6,50,SP2365
11084,21-Jan-19,R1005,6,2,SP2365
11085,21-Jan-19,R1005,6,15,SP2365
11086,21-Jan-19,R1005,6,35,SP2365
11748,21-Jan-19,R1001,6,6,SP2365
11749,21-Jan-19,R1001,6,4,SP2365
11750,21-Jan-19,R1001,6,1,SP2365
11808,21-Jan-19,R1013,9,20,SP3774
11809,21-Jan-19,R1013,6,30,SP3774
11810,21-Jan-19,R1013,6,12,SP3774
11751,22-Jan-19,R1001,7,2,SP2365
11752,22-Jan-19,R1001,6,6,SP2365
12091,23-Jan-19,R1014,6,18,SP2886
12092,23-Jan-19,R1014,8,35,SP2886
12093,23-Jan-19,R1014,9,20,SP2886
12094,23-Jan-19,R1014,8,3,SP2886
11579,24-Jan-19,R1002,9,15,SP1131
11580,24-Jan-19,R1002,7,40,SP1131
11581,24-Jan-19,R1002,9,10,SP1131
10701,25-Jan-19,R1015,8,10,SP2886
10702,25-Jan-19,R1015,7,60,SP2886
10703,25-Jan-19,R1015,6,25,SP2886
10968,25-Jan-19,R1004,6,6,SP2365
10969,25-Jan-19,R1004,9,25,SP2365
11195,26-Jan-19,R1020,6,5,SP2365
11196,26-Jan-19,R1020,9,21,SP2365
11197,26-Jan-19,R1020,8,20,SP2365
11198,26-Jan-19,R1020,6,15,SP2365
11692,26-Jan-19,R1017,6,8,SP2886
12136,26-Jan-19,R1014,6,20,SP2886
12137,26-Jan-19,R1014,9,21,SP2886
12138,26-Jan-19,R1014,8,60,SP2886
11199,27-Jan-19,R1020,6,45,SP2662
11200,27-Jan-19,R1020,6,40,SP2662
11201,27-Jan-19,R1020,9,36,SP2662
11351,27-Jan-19,R1020,6,15,SP2365
11352,27-Jan-19,R1020,8,20,SP2365
10918,28-Jan-19,R1003,6,30,SP2886
10919,28-Jan-19,R1003,9,20,SP2886
11202,28-Jan-19,R1020,6,40,SP1131
11203,28-Jan-19,R1020,6,100,SP1131
12139,28-Jan-19,R1014,6,50,SP2365
12140,28-Jan-19,R1014,6,60,SP2365
10626,29-Jan-19,R1015,6,15,SP1131
10627,29-Jan-19,R1015,6,40,SP1131
10628,29-Jan-19,R1015,6,20,SP1131
11563,30-Jan-19,R1002,6,3,SP2365
11564,30-Jan-19,R1002,9,10,SP2365
10704,31-Jan-19,R1015,6,21,SP2886
10705,31-Jan-19,R1015,6,20,SP2886
10706,31-Jan-19,R1015,6,4,SP2886
11353,31-Jan-19,R1020,6,21,SP2886
11354,31-Jan-19,R1020,6,15,SP2886
11355,31-Jan-19,R1020,6,2,SP2886
10707,01-Feb-19,R1015,6,20,SP2365
10708,01-Feb-19,R1015,6,15,SP2365
10709,02-Feb-19,R1015,6,20,SP2365
10710,02-Feb-19,R1015,6,30,SP2365
11535,02-Feb-19,R1008,8,30,SP2365
11536,02-Feb-19,R1008,9,35,SP2365
11537,02-Feb-19,R1008,6,15,SP2365
11538,02-Feb-19,R1008,6,18,SP2365
11951,02-Feb-19,R1006,9,30,SP2886
11952,02-Feb-19,R1006,7,9,SP2886
10579,03-Feb-19,R1007,6,20,SP2365
10580,03-Feb-19,R1007,8,15,SP2365
10629,03-Feb-19,R1015,9,10,SP1131
10630,03-Feb-19,R1015,9,15,SP1131
10631,03-Feb-19,R1015,6,15,SP1131
10632,03-Feb-19,R1015,9,20,SP1131
10633,03-Feb-19,R1015,9,24,SP2886
10634,03-Feb-19,R1015,6,20,SP2886
10635,03-Feb-19,R1015,6,2,SP2886
10711,03-Feb-19,R1015,7,15,SP2365
10712,03-Feb-19,R1015,6,15,SP2365
10636,04-Feb-19,R1015,6,20,SP2662
10713,04-Feb-19,R1015,9,25,SP2365
10714,04-Feb-19,R1015,6,30,SP2365
10715,04-Feb-19,R1015,9,30,SP2365
11618,05-Feb-19,R1019,6,12,SP2662
11619,05-Feb-19,R1019,6,6,SP2662
11620,05-Feb-19,R1019,6,10,SP2662
11621,05-Feb-19,R1019,9,5,SP2662
10716,07-Feb-19,R1015,7,20,SP2365
10717,07-Feb-19,R1015,6,2,SP2365
11356,07-Feb-19,R1020,6,12,SP1131
11357,07-Feb-19,R1020,7,20,SP1131
11358,08-Feb-19,R1020,6,30,SP2662
11359,08-Feb-19,R1020,8,20,SP2662
11844,08-Feb-19,R1013,6,20,SP2365
11845,08-Feb-19,R1013,9,6,SP2365
11846,08-Feb-19,R1013,9,12,SP2365
11004,09-Feb-19,R1005,7,4,SP3774
11582,09-Feb-19,R1002,6,20,SP2662
12095,10-Feb-19,R1014,8,15,SP2886
12096,10-Feb-19,R1014,8,12,SP2886
12097,10-Feb-19,R1014,6,30,SP2886
10718,11-Feb-19,R1015,8,20,SP2886
10719,11-Feb-19,R1015,6,24,SP2886
10720,11-Feb-19,R1015,6,40,SP2886
11005,11-Feb-19,R1005,8,20,SP2365
11006,11-Feb-19,R1005,6,60,SP2365
11360,11-Feb-19,R1020,9,70,SP2365
11361,11-Feb-19,R1020,6,60,SP2365
11362,11-Feb-19,R1020,6,70,SP2365
11363,11-Feb-19,R1020,8,55,SP2365
11506,12-Feb-19,R1008,6,40,SP2886
11507,12-Feb-19,R1008,6,40,SP2886
11508,12-Feb-19,R1008,6,15,SP2886
11509,12-Feb-19,R1008,8,30,SP2886
10637,13-Feb-19,R1015,6,20,SP2365
10638,13-Feb-19,R1015,6,15,SP2365
11539,15-Feb-19,R1008,6,49,SP2886
11540,15-Feb-19,R1008,6,3,SP2886
11087,16-Feb-19,R1005,6,20,SP3774
11088,16-Feb-19,R1005,7,30,SP3774
11089,16-Feb-19,R1005,6,30,SP3774
11204,16-Feb-19,R1020,7,20,SP1131
11205,16-Feb-19,R1020,6,10,SP1131
11565,16-Feb-19,R1002,6,20,SP3774
11566,16-Feb-19,R1002,9,30,SP3774
11741,16-Feb-19,R1012,6,24,SP2662
11742,16-Feb-19,R1012,7,12,SP2662
11743,16-Feb-19,R1012,9,15,SP2662
10563,17-Feb-19,R1007,6,12,SP2365
10564,17-Feb-19,R1007,6,28,SP2365
10565,17-Feb-19,R1007,9,40,SP2365
10497,18-Feb-19,R1010,8,45,SP2886
10498,18-Feb-19,R1010,8,14,SP2886
11753,18-Feb-19,R1001,9,30,SP2886
11754,18-Feb-19,R1001,6,40,SP2886
11755,18-Feb-19,R1001,6,15,SP2886
11919,18-Feb-19,R1018,9,36,SP2886
11920,18-Feb-19,R1018,9,10,SP2886
11622,19-Feb-19,R1019,6,30,SP2662
11623,19-Feb-19,R1019,8,10,SP2662
11624,19-Feb-19,R1019,8,2,SP2662
10920,21-Feb-19,R1003,6,30,SP3774
11364,21-Feb-19,R1020,8,8,SP2662
11365,21-Feb-19,R1020,7,15,SP2662
11366,21-Feb-19,R1020,9,4,SP2662
11367,22-Feb-19,R1020,6,25,SP2365
11368,22-Feb-19,R1020,6,25,SP2365
11369,22-Feb-19,R1020,6,60,SP2365
11370,22-Feb-19,R1020,6,50,SP2365
11371,22-Feb-19,R1020,7,32,SP2365
11090,23-Feb-19,R1005,6,10,SP2662
