Country	 Product 	Units Sold	 Manufacturing Price 	 Sale Price 	 Gross Sales 	 Discounts 	  Sales 	 COGS 	 Profit 	Date	 Month Name 	Year	
Japan	 Kensington 	1372	 $3.00 	 $20.00 	" $27,440.00 "	 $-   	" $27,440.00 "	" $16,185.00 "	" $11,255.00 "	1/1/2019	 January 	2019	
India	 Kensington 	2762	 $3.00 	 $20.00 	" $55,240.00 "	 $-   	" $55,240.00 "	" $13,210.00 "	" $42,030.00 "	1/1/2019	 January 	2019	
United Kingdom	 Kensington 	1464	 $3.00 	 $15.00 	" $21,960.00 "	 $-   	" $21,960.00 "	" $21,780.00 "	 $180.00 	6/1/2019	 June 	2019	
India	 Kensington 	719	 $3.00 	 $15.00 	" $10,785.00 "	 $-   	" $10,785.00 "	" $8,880.00 "	" $1,905.00 "	6/1/2019	 June 	2019	
Brazil	 Kensington 	3576	 $3.00 	 $15.00 	" $53,640.00 "	 $-   	" $53,640.00 "	" $24,700.00 "	" $28,940.00 "	6/1/2019	 June 	2019	
India	 Kensington 	4422	 $3.00 	 $350.00 	" $1,547,700.00 "	 $-   	" $1,547,700.00 "	" $393,380.00 "	" $1,154,320.00 "	12/1/2019	 December 	2019	
India	 Royal Oak 	3649	 $5.00 	 $15.00 	" $54,735.00 "	 $-   	" $54,735.00 "	" $9,210.00 "	" $45,525.00 "	3/1/2019	 March 	2019	
Japan	 Royal Oak 	4172	 $5.00 	 $12.00 	" $50,064.00 "	 $-   	" $50,064.00 "	" $7,554.00 "	" $42,510.00 "	6/1/2019	 June 	2019	
United Kingdom	 Royal Oak 	3841	 $5.00 	 $20.00 	" $76,820.00 "	 $-   	" $76,820.00 "	" $18,990.00 "	" $57,830.00 "	6/1/2019	 June 	2019	
India	 Royal Oak 	3726	 $5.00 	 $12.00 	" $44,712.00 "	 $-   	" $44,712.00 "	" $4,635.00 "	" $40,077.00 "	6/1/2019	 June 	2019	
Brazil	 Royal Oak 	2625	 $5.00 	 $15.00 	" $39,375.00 "	 $-   	" $39,375.00 "	" $24,700.00 "	" $14,675.00 "	6/1/2019	 June 	2019	
Japan	 Royal Oak 	1958	 $5.00 	 $125.00 	" $244,750.00 "	 $-   	" $244,750.00 "	" $319,860.00 "	" $(75,110.00)"	7/1/2019	 July 	2019	
Brazil	 Royal Oak 	3271	 $5.00 	 $300.00 	" $981,300.00 "	 $-   	" $981,300.00 "	" $239,500.00 "	" $741,800.00 "	8/1/2019	 August 	2019	
India	 Royal Oak 	2091	 $5.00 	 $7.00 	" $14,637.00 "	 $-   	" $14,637.00 "	" $10,730.00 "	" $3,907.00 "	9/1/2019	 September 	2019	
Japan	 Royal Oak 	2530	 $5.00 	 $125.00 	" $316,250.00 "	 $-   	" $316,250.00 "	" $41,400.00 "	" $274,850.00 "	10/1/2018	 October 	2018	
United States of America	 Royal Oak 	2825	 $5.00 	 $15.00 	" $42,375.00 "	 $-   	" $42,375.00 "	" $6,150.00 "	" $36,225.00 "	12/1/2019	 December 	2019	
Japan	 Vermont 	2513	 $10.00 	 $20.00 	" $50,260.00 "	 $-   	" $50,260.00 "	" $2,920.00 "	" $47,340.00 "	2/1/2019	 February 	2019	
Brazil	 Vermont 	883	 $10.00 	 $15.00 	" $13,245.00 "	 $-   	" $13,245.00 "	" $9,740.00 "	" $3,505.00 "	2/1/2019	 February 	2019	
Japan	 Vermont 	2087	 $10.00 	 $12.00 	" $25,044.00 "	 $-   	" $25,044.00 "	" $7,554.00 "	" $17,490.00 "	6/1/2019	 June 	2019	
India	 Vermont 	2563	 $10.00 	 $350.00 	" $897,050.00 "	 $-   	" $897,050.00 "	" $261,560.00 "	" $635,490.00 "	6/1/2019	 June 	2019	
India	 Vermont 	2846	 $10.00 	 $12.00 	" $34,152.00 "	 $-   	" $34,152.00 "	" $1,101.00 "	" $33,051.00 "	7/1/2019	 July 	2019	
Brazil	 Vermont 	997	 $10.00 	 $7.00 	" $6,979.00 "	 $-   	" $6,979.00 "	" $4,415.00 "	" $2,564.00 "	8/1/2019	 August 	2019	
United Kingdom	 Vermont 	3421	 $10.00 	 $15.00 	" $51,315.00 "	 $-   	" $51,315.00 "	" $5,490.00 "	" $45,825.00 "	9/1/2018	 September 	2018	
Brazil	 Vermont 	2291	 $10.00 	 $300.00 	" $687,300.00 "	 $-   	" $687,300.00 "	" $197,000.00 "	" $490,300.00 "	9/1/2018	 September 	2018	
Brazil	 Vermont 	2290	 $10.00 	 $15.00 	" $34,350.00 "	 $-   	" $34,350.00 "	" $24,720.00 "	" $9,630.00 "	9/1/2019	 September 	2019	
United States of America	 Vermont 	2133	 $10.00 	 $7.00 	" $14,931.00 "	 $-   	" $14,931.00 "	" $5,715.00 "	" $9,216.00 "	10/1/2019	 October 	2019	
Japan	 Vermont 	3475	 $10.00 	 $350.00 	" $1,216,250.00 "	 $-   	" $1,216,250.00 "	" $448,500.00 "	" $767,750.00 "	11/1/2018	 November 	2018	
United States of America	 Vermont 	3686	 $10.00 	 $12.00 	" $44,232.00 "	 $-   	" $44,232.00 "	" $2,736.00 "	" $41,496.00 "	11/1/2018	 November 	2018	
Japan	 Vermont 	3319	 $10.00 	 $15.00 	" $49,785.00 "	 $-   	" $49,785.00 "	" $21,520.00 "	" $28,265.00 "	12/1/2018	 December 	2018	
Japan	 Vermont 	3617	 $10.00 	 $20.00 	" $72,340.00 "	 $-   	" $72,340.00 "	" $18,170.00 "	" $54,170.00 "	12/1/2019	 December 	2019	
India	 Vermont 	1266	 $10.00 	 $350.00 	" $443,100.00 "	 $-   	" $443,100.00 "	" $393,380.00 "	" $49,720.00 "	12/1/2019	 December 	2019	
Brazil	 Burlington 	894	 $120.00 	 $7.00 	" $6,258.00 "	 $-   	" $6,258.00 "	" $7,465.00 "	" $(1,207.00)"	1/1/2019	 January 	2019	
United Kingdom	 Burlington 	2725	 $120.00 	 $125.00 	" $340,625.00 "	 $-   	" $340,625.00 "	" $216,480.00 "	" $124,145.00 "	2/1/2019	 February 	2019	
India	 Burlington 	3061	 $120.00 	 $12.00 	" $36,732.00 "	 $-   	" $36,732.00 "	" $6,483.00 "	" $30,249.00 "	3/1/2019	 March 	2019	
India	 Burlington 	3958	 $120.00 	 $350.00 	" $1,385,300.00 "	 $-   	" $1,385,300.00 "	" $261,560.00 "	" $1,123,740.00 "	6/1/2019	 June 	2019	
India	 Burlington 	3920	 $120.00 	 $12.00 	" $47,040.00 "	 $-   	" $47,040.00 "	" $4,635.00 "	" $42,405.00 "	6/1/2019	 June 	2019	
United States of America	 Burlington 	3381	 $120.00 	 $125.00 	" $422,625.00 "	 $-   	" $422,625.00 "	" $338,520.00 "	" $84,105.00 "	8/1/2019	 August 	2019	
Japan	 Burlington 	1094	 $120.00 	 $125.00 	" $136,750.00 "	 $-   	" $136,750.00 "	" $41,400.00 "	" $95,350.00 "	10/1/2018	 October 	2018	
Japan	 Mandarin 	4307	 $250.00 	 $300.00 	" $1,292,100.00 "	 $-   	" $1,292,100.00 "	" $500,250.00 "	" $791,850.00 "	2/1/2019	 February 	2019	
India	 Mandarin 	878	 $250.00 	 $12.00 	" $10,536.00 "	 $-   	" $10,536.00 "	" $8,514.00 "	" $2,022.00 "	4/1/2019	 April 	2019	
United Kingdom	 Mandarin 	496	 $250.00 	 $15.00 	" $7,440.00 "	 $-   	" $7,440.00 "	" $21,780.00 "	" $(14,340.00)"	6/1/2019	 June 	2019	
India	 Mandarin 	3367	 $250.00 	 $15.00 	" $50,505.00 "	 $-   	" $50,505.00 "	" $8,880.00 "	" $41,625.00 "	6/1/2019	 June 	2019	
United Kingdom	 Mandarin 	3880	 $250.00 	 $350.00 	" $1,358,000.00 "	 $-   	" $1,358,000.00 "	" $397,020.00 "	" $960,980.00 "	9/1/2018	 September 	2018	
United Kingdom	 Mandarin 	2055	 $250.00 	 $300.00 	" $616,500.00 "	 $-   	" $616,500.00 "	" $537,750.00 "	" $78,750.00 "	9/1/2019	 September 	2019	
Japan	 Mandarin 	4041	 $250.00 	 $20.00 	" $80,820.00 "	 $-   	" $80,820.00 "	" $18,170.00 "	" $62,650.00 "	12/1/2019	 December 	2019	
